Problem,Algorithm,Feasible Solutions,%,Unique Solutions
SetA_10x4S10,Max,10000,100.0,687
SetA_10x4S10,Min,10000,100.0,678
SetA_10x4S15,Max,10000,100.0,670
SetA_10x4S15,Min,10000,100.0,660
SetA_10x4S20,Max,10000,100.0,691
SetA_10x4S20,Min,10000,100.0,707
SetA_10x4S30,Max,10000,100.0,754
SetA_10x4S30,Min,10000,100.0,748
SetA_10x4S5,Max,4045,40.45,582
SetA_10x4S5,Min,4033,40.33,578
SetA_10x5S10,Max,10000,100.0,882
SetA_10x5S10,Min,10000,100.0,887
SetA_10x5S15,Max,10000,100.0,869
SetA_10x5S15,Min,10000,100.0,885
SetA_10x5S20,Max,10000,100.0,904
SetA_10x5S20,Min,10000,100.0,889
SetA_10x5S30,Max,10000,100.0,893
SetA_10x5S30,Min,10000,100.0,890
SetA_10x5S5,Max,10000,100.0,840
SetA_10x5S5,Min,10000,100.0,845
SetA_11x5S10,Max,8352,83.52,898
SetA_11x5S10,Min,8294,82.94,904
SetA_11x5S15,Max,10000,100.0,899
SetA_11x5S15,Min,10000,100.0,880
SetA_11x5S20,Max,10000,100.0,904
SetA_11x5S20,Min,10000,100.0,919
SetA_11x5S30,Max,10000,100.0,925
SetA_11x5S30,Min,10000,100.0,913
SetA_11x5S5,Max,1658,16.58,529
SetA_11x5S5,Min,1629,16.29,510
SetA_12x5S10,Max,9930,99.3,918
SetA_12x5S10,Min,9920,99.2,919
SetA_12x5S15,Max,10000,100.0,897
SetA_12x5S15,Min,10000,100.0,918
SetA_12x5S20,Max,10000,100.0,913
SetA_12x5S20,Min,10000,100.0,910
SetA_12x5S30,Max,10000,100.0,920
SetA_12x5S30,Min,10000,100.0,949
SetA_12x5S5,Max,3819,38.19,815
SetA_12x5S5,Min,3823,38.23,805
SetA_12x6S10,Max,10000,100.0,1245
SetA_12x6S10,Min,10000,100.0,1248
SetA_12x6S15,Max,10000,100.0,1268
SetA_12x6S15,Min,10000,100.0,1255
SetA_12x6S20,Max,10000,100.0,1272
SetA_12x6S20,Min,10000,100.0,1270
SetA_12x6S30,Max,10000,100.0,1309
SetA_12x6S30,Min,10000,100.0,1290
SetA_12x6S5,Max,4969,49.69,1020
SetA_12x6S5,Min,4986,49.86,1021
SetA_15x6S10,Max,9616,96.16,1327
SetA_15x6S10,Min,9649,96.49,1348
SetA_15x6S15,Max,9997,99.97,1416
SetA_15x6S15,Min,9998,99.98,1378
SetA_15x6S20,Max,10000,100.0,1372
SetA_15x6S20,Min,10000,100.0,1395
SetA_15x6S30,Max,10000,100.0,1473
SetA_15x6S30,Min,10000,100.0,1456
SetA_15x6S5,Max,3753,37.53,1108
SetA_15x6S5,Min,3701,37.01,1122
SetA_15x7S10,Max,9733,97.33,1526
SetA_15x7S10,Min,9692,96.92,1529
SetA_15x7S15,Max,10000,100.0,1557
SetA_15x7S15,Min,10000,100.0,1557
SetA_15x7S20,Max,10000,100.0,1583
SetA_15x7S20,Min,10000,100.0,1588
SetA_15x7S30,Max,10000,100.0,1601
SetA_15x7S30,Min,10000,100.0,1634
SetA_15x7S5,Max,4115,41.15,1217
SetA_15x7S5,Min,4046,40.46,1195
SetA_20x10S10,Max,10000,100.0,2725
SetA_20x10S10,Min,10000,100.0,2713
SetA_20x10S15,Max,10000,100.0,2713
SetA_20x10S15,Min,10000,100.0,2714
SetA_20x10S20,Max,10000,100.0,2766
SetA_20x10S20,Min,10000,100.0,2734
SetA_20x10S30,Max,10000,100.0,2778
SetA_20x10S30,Min,10000,100.0,2843
SetA_20x10S5,Max,10000,100.0,2733
SetA_20x10S5,Min,10000,100.0,2733
SetA_8x4S10,Max,10000,100.0,575
SetA_8x4S10,Min,10000,100.0,579
SetA_8x4S15,Max,10000,100.0,604
SetA_8x4S15,Min,10000,100.0,614
SetA_8x4S20,Max,10000,100.0,648
SetA_8x4S20,Min,10000,100.0,644
SetA_8x4S30,Max,10000,100.0,711
SetA_8x4S30,Min,10000,100.0,703
SetA_8x4S5,Max,10000,100.0,385
SetA_8x4S5,Min,10000,100.0,385
SetA_9x4S10,Max,10000,100.0,664
SetA_9x4S10,Min,10000,100.0,667
SetA_9x4S15,Max,10000,100.0,624
SetA_9x4S15,Min,10000,100.0,634
SetA_9x4S20,Max,10000,100.0,697
SetA_9x4S20,Min,10000,100.0,696
SetA_9x4S30,Max,10000,100.0,718
SetA_9x4S30,Min,10000,100.0,706
SetA_9x4S5,Max,10000,100.0,692
SetA_9x4S5,Min,10000,100.0,688
