Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,Time(ns),SolutionFile
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,1,6595.0,6325.0,10111603,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,10,6468.0,6325.0,19058906,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,100,6436.0,6325.0,40083954,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,6383.0,6325.0,92851026,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,6325.0,6325.0,201671940,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,6325.0,6325.0,654166014,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6325.0,6325.0,4210501769,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,1,6631.0,6325.0,10316407,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,10,6383.0,6325.0,16725699,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,100,6428.0,6325.0,32723237,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,6336.0,6325.0,77077284,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,6368.0,6325.0,183015068,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,6325.0,6325.0,615659233,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6325.0,6325.0,4167588333,SetA_10x4S10-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,1,6498.0,6296.0,11466379,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,10,6461.0,6296.0,17164113,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,100,6363.0,6296.0,35238178,SetA_10x4S15-Solution
