Instance,Algorithm,Order,Iterations,ObjectiveFunctionValue,OptimalValue,ValueDeviation,Time(s),OptimalSolutionTime(s),TimeDeviation,SolutionFile
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,1,6659.0,6325.0,5.281,0.010,0.041,-76.621,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,1,6557.0,6325.0,3.668,0.011,0.041,-74.127,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,10,6553.0,6325.0,3.605,0.016,0.041,-61.701,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,10,6553.0,6325.0,3.605,0.014,0.041,-65.026,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,100,6434.0,6325.0,1.723,0.036,0.041,-12.334,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,100,6424.0,6325.0,1.565,0.033,0.041,-18.355,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,1000,6385.0,6325.0,0.949,0.068,0.041,65.550,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,1000,6407.0,6325.0,1.296,0.071,0.041,73.043,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,10000,6327.0,6325.0,0.032,0.170,0.041,315.268,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,10000,6327.0,6325.0,0.032,0.160,0.041,289.072,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,100000,6327.0,6325.0,0.032,0.531,0.041,1194.589,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,100000,6325.0,6325.0,0.000,0.523,0.041,1176.441,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6325.0,6325.0,0.000,4.057,0.041,9795.906,SetA_10x4S10-Solution
SetA_10x4S10,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6325.0,6325.0,0.000,3.896,0.041,9401.491,SetA_10x4S10-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,1,6695.0,6296.0,6.337,0.009,0.048,-80.234,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,1,6504.0,6296.0,3.304,0.012,0.048,-74.632,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,10,6399.0,6296.0,1.636,0.018,0.048,-63.235,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,10,6376.0,6296.0,1.271,0.019,0.048,-59.518,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,100,6323.0,6296.0,0.429,0.039,0.048,-18.568,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,100,6363.0,6296.0,1.064,0.034,0.048,-29.399,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,1000,6311.0,6296.0,0.238,0.087,0.048,80.358,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,1000,6323.0,6296.0,0.429,0.078,0.048,62.487,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,10000,6316.0,6296.0,0.318,0.162,0.048,238.361,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,10000,6311.0,6296.0,0.238,0.149,0.048,210.440,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,100000,6305.0,6296.0,0.143,0.558,0.048,1061.622,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,100000,6311.0,6296.0,0.238,0.546,0.048,1037.495,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,DoorSwap-Reloc-Swap,1000000,6305.0,6296.0,0.143,4.432,0.048,9134.274,SetA_10x4S15-Solution
SetA_10x4S15,GRASP_VND,Reloc-Swap-DoorSwap,1000000,6311.0,6296.0,0.238,4.206,0.048,8662.719,SetA_10x4S15-Solution
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,1,6473.0,6267.0,3.287,0.010,0.04,-75.161,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,1,6491.0,6267.0,3.574,0.010,0.04,-74.107,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,10,6334.0,6267.0,1.069,0.015,0.04,-61.752,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,10,6393.0,6267.0,2.011,0.015,0.04,-61.547,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,100,6320.0,6267.0,0.846,0.043,0.04,7.511,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,100,6358.0,6267.0,1.452,0.032,0.04,-20.643,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,1000,6267.0,6267.0,0.000,0.081,0.04,103.358,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,1000,6323.0,6267.0,0.894,0.076,0.04,91.217,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,10000,6267.0,6267.0,0.000,0.145,0.04,262.635,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,10000,6304.0,6267.0,0.590,0.158,0.04,294.370,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,DoorSwap-Reloc-Swap,100000,6267.0,6267.0,0.000,0.600,0.04,1399.492,SetA_10x4S20-Solution
SetA_10x4S20,GRASP_VND,Reloc-Swap-DoorSwap,100000,6267.0,6267.0,0.000,0.575,0.04,1337.963,SetA_10x4S20-Solution
