Problem, Algorithm, Objective Function Value, CPU (ns), NotFeasible, Solution output
SetA_10x4S10,MaxCapacity,6988.0,2662600,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,6814.0,2871300,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,6816.0,3813100,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,6853.0,6749100,,SetA_10x4S10-Solution
SetA_10x4S15,MaxCapacity,6988.0,2731500,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,6895.0,2749000,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,6647.0,3381200,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,6799.0,3827300,,SetA_10x4S15-Solution
SetA_10x4S20,MaxCapacity,6988.0,3368100,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,6620.0,3960900,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacityRandom,6702.0,3399500,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacityRandom,6843.0,4066600,,SetA_10x4S20-Solution
SetA_10x4S30,MaxCapacity,6988.0,2686900,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacity,6774.0,2749400,,SetA_10x4S30-Solution
SetA_10x4S30,MaxCapacityRandom,6847.0,3715800,,SetA_10x4S30-Solution
SetA_10x4S30,MinCapacityRandom,6821.0,3637100,,SetA_10x4S30-Solution
SetA_10x4S5,MaxCapacity,-2.0,3536200,X,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacity,6948.0,2911100,,SetA_10x4S5-Solution
SetA_10x4S5,MaxCapacityRandom,-2.0,3507900,X,SetA_10x4S5-Solution
SetA_10x4S5,MinCapacityRandom,-2.0,3349300,X,SetA_10x4S5-Solution
SetA_10x5S10,MaxCapacity,7008.0,3472800,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacity,6936.0,2649500,,SetA_10x5S10-Solution
SetA_10x5S10,MaxCapacityRandom,7210.0,3188700,,SetA_10x5S10-Solution
SetA_10x5S10,MinCapacityRandom,7409.0,3589600,,SetA_10x5S10-Solution
SetA_10x5S15,MaxCapacity,7008.0,2849500,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacity,7030.0,2944500,,SetA_10x5S15-Solution
SetA_10x5S15,MaxCapacityRandom,7144.0,3452500,,SetA_10x5S15-Solution
SetA_10x5S15,MinCapacityRandom,7061.0,4305400,,SetA_10x5S15-Solution
SetA_10x5S20,MaxCapacity,7008.0,2507900,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacity,7041.0,2835800,,SetA_10x5S20-Solution
SetA_10x5S20,MaxCapacityRandom,7228.0,3273200,,SetA_10x5S20-Solution
SetA_10x5S20,MinCapacityRandom,7336.0,3352200,,SetA_10x5S20-Solution
SetA_10x5S30,MaxCapacity,7008.0,2595600,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacity,7230.0,2760700,,SetA_10x5S30-Solution
SetA_10x5S30,MaxCapacityRandom,7310.0,3939200,,SetA_10x5S30-Solution
SetA_10x5S30,MinCapacityRandom,6921.0,3405900,,SetA_10x5S30-Solution
