File,Algorithm,Search,ObjectiveFunctionValue,Time(ns),NotFeasible,SolutionFile
SetA_10x4S10,MaxCapacity,GreedySupplierReloc,6934.0,4207783,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacity,GreedyCustomerReloc,6931.0,3417658,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacity,GreedySupplierSwap,6988.0,1281411,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacity,GreedyCustomerSwap,6988.0,1796122,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacity,GreedyInDoorSwap,6643.0,2519586,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacity,GreedyOutDoorSwap,6729.0,1980210,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,GreedySupplierReloc,6814.0,1181633,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,GreedyCustomerReloc,6781.0,1810872,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,GreedySupplierSwap,6814.0,1425265,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,GreedyCustomerSwap,6814.0,1234702,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,GreedyInDoorSwap,6673.0,1845430,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacity,GreedyOutDoorSwap,6733.0,1875890,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,GreedySupplierReloc,7030.0,1357669,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,GreedyCustomerReloc,7129.0,1871354,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,GreedySupplierSwap,7089.0,1463523,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,GreedyCustomerSwap,6675.0,1551446,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,GreedyInDoorSwap,6611.0,1733631,,SetA_10x4S10-Solution
SetA_10x4S10,MaxCapacityRandom,GreedyOutDoorSwap,6685.0,1875087,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,GreedySupplierReloc,6878.0,2150110,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,GreedyCustomerReloc,6960.0,1618964,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,GreedySupplierSwap,6780.0,1184823,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,GreedyCustomerSwap,6844.0,1175421,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,GreedyInDoorSwap,6748.0,2304419,,SetA_10x4S10-Solution
SetA_10x4S10,MinCapacityRandom,GreedyOutDoorSwap,6762.0,1908979,,SetA_10x4S10-Solution
SetA_10x4S15,MaxCapacity,GreedySupplierReloc,6934.0,2047213,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacity,GreedyCustomerReloc,6889.0,2961475,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacity,GreedySupplierSwap,6988.0,1210487,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacity,GreedyCustomerSwap,6967.0,1611997,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacity,GreedyInDoorSwap,6643.0,1930204,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacity,GreedyOutDoorSwap,6729.0,1925426,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,GreedySupplierReloc,6730.0,2689066,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,GreedyCustomerReloc,6884.0,1723188,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,GreedySupplierSwap,6895.0,1616392,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,GreedyCustomerSwap,6895.0,1199450,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,GreedyInDoorSwap,6762.0,1786788,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacity,GreedyOutDoorSwap,6758.0,1892901,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,GreedySupplierReloc,6912.0,1644947,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,GreedyCustomerReloc,6821.0,1812525,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,GreedySupplierSwap,6731.0,1206867,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,GreedyCustomerSwap,6865.0,1200866,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,GreedyInDoorSwap,6538.0,1835501,,SetA_10x4S15-Solution
SetA_10x4S15,MaxCapacityRandom,GreedyOutDoorSwap,6641.0,1899379,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,GreedySupplierReloc,6973.0,1656390,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,GreedyCustomerReloc,6882.0,1661322,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,GreedySupplierSwap,6852.0,1168906,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,GreedyCustomerSwap,6918.0,1700616,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,GreedyInDoorSwap,6723.0,1846149,,SetA_10x4S15-Solution
SetA_10x4S15,MinCapacityRandom,GreedyOutDoorSwap,6718.0,1847795,,SetA_10x4S15-Solution
SetA_10x4S20,MaxCapacity,GreedySupplierReloc,6934.0,1650165,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacity,GreedyCustomerReloc,6878.0,1897857,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacity,GreedySupplierSwap,6988.0,1238688,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacity,GreedyCustomerSwap,6964.0,1638594,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacity,GreedyInDoorSwap,6643.0,2339592,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacity,GreedyOutDoorSwap,6729.0,1912272,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,GreedySupplierReloc,6532.0,1784116,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,GreedyCustomerReloc,6598.0,1658105,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,GreedySupplierSwap,6620.0,1398589,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,GreedyCustomerSwap,6620.0,1191596,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,GreedyInDoorSwap,6620.0,1472494,,SetA_10x4S20-Solution
SetA_10x4S20,MinCapacity,GreedyOutDoorSwap,6620.0,1458845,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacityRandom,GreedySupplierReloc,6675.0,1670258,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacityRandom,GreedyCustomerReloc,6745.0,1730644,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacityRandom,GreedySupplierSwap,7028.0,1430740,,SetA_10x4S20-Solution
SetA_10x4S20,MaxCapacityRandom,GreedyCustomerSwap,7047.0,1207785,,SetA_10x4S20-Solution
